
NYJ,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NYJ,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
NYJ,0.5,1,1,0,0.5,0,1,1,1,1,1,1,1,0,1,1
NYJ,0.5,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,1
NYJ,1,0,0,0.5,0.5,1,0.5,1,0,1,0,0,0,1,1,0
NYJ,1,0.5,1,0,0,0,1,0,0,0,0,1,1,0.5,0,0
0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.41666666666666663
NYJ,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NYJ,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
NYJ,0.5,1,1,0,0.5,0,1,1,1,1,1,1,1,0,1,1
NYJ,0.5,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,1
NYJ,1,0,0,0.5,0.5,1,0.5,1,0,1,0,0,0,1,1,0
NYJ,1,0.5,1,0,0,0,1,0,0,0,0,1,1,0.5,0,0
NYJ,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,0.6071428571428572
NYJ,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NYJ,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
NYJ,0.5,1,1,0,0.5,0,1,1,1,1,1,1,1,0,1,1
NYJ,0.5,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,1
NYJ,1,0,0,0.5,0.5,1,0.5,1,0,1,0,0,0,1,1,0
NYJ,1,0.5,1,0,0,0,1,0,0,0,0,1,1,0.5,0,0
NYJ,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,1.0,0.7142857142857143,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.8214285714285714
NYJ,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NYJ,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
NYJ,0.5,1,1,0,0.5,0,1,1,1,1,1,1,1,0,1,1
NYJ,0.5,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,1
NYJ,1,0,0,0.5,0.5,1,0.5,1,0,1,0,0,0,1,1,0
NYJ,1,0.5,1,0,0,0,1,0,0,0,0,1,1,0.5,0,0
NYJ,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,1.4285714285714286,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0357142857142856
NYJ,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NYJ,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
NYJ,0.5,1,1,0,0.5,0,1,1,1,1,1,1,1,0,1,1
NYJ,0.5,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,1
NYJ,1,0,0,0.5,0.5,1,0.5,1,0,1,0,0,0,1,1,0
NYJ,1,0.5,1,0,0,0,1,0,0,0,0,1,1,0.5,0,0
NYJ,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,1.8571428571428572,1.2857142857142858,0.0,0.0,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,1.2857142857142858,0.0,1.25
NYJ,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NYJ,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
NYJ,0.5,1,1,0,0.5,0,1,1,1,1,1,1,1,0,1,1
NYJ,0.5,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,1
NYJ,1,0,0,0.5,0.5,1,0.5,1,0,1,0,0,0,1,1,0
NYJ,1,0.5,1,0,0,0,1,0,0,0,0,1,1,0.5,0,0
NYJ,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0,0.0,2.2857142857142856,1.5714285714285714,0.0,0.0,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,0.0,1.4642857142857142
NYJ,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NYJ,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0
NYJ,0.5,1,1,0,0.5,0,1,1,1,1,1,1,1,0,1,1
NYJ,0.5,1,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,1
