P H I
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.0,0.5,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.42857142857142855,0.0,0.6785714285714286
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
PHI,1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
0.0,1.0,0.75,1.25,0.875,1.5,0.375,1.125,1.5,1.25,0.75,1.25,1.375,0.875,0.0,1.125
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
PHI,1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
0.0,1.625,1.125,2.0,1.375,2.375,0.5,1.875,2.375,2.0,1.125,2.0,2.25,1.375,0.0,1.625
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
PHI,1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
PHI,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0,1.9090909090909092,1.3636363636363635,2.090909090909091,1.6363636363636365,2.5454545454545454,0.7272727272727273,2.1818181818181817,2.5454545454545454,2.1818181818181817,1.4545454545454546,2.1818181818181817,2.4545454545454546,1.7272727272727273,0.09090909090909091,1.75
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
PHI,1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
PHI,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0,2.6363636363636362,1.9090909090909092,2.8181818181818183,2.272727272727273,3.3636363636363638,1.0909090909090908,3.0,3.3636363636363638,3.0,2.090909090909091,3.0,3.272727272727273,2.4545454545454546,0.2727272727272727,2.25
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
PHI,1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
PHI,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0,3.272727272727273,2.3636363636363638,3.4545454545454546,2.8181818181818183,4.181818181818182,1.4545454545454546,3.727272727272727,4.181818181818182,3.727272727272727,2.6363636363636362,3.727272727272727,4.090909090909091,3.090909090909091,0.36363636363636365,2.7045454545454546
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
PHI,1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
PHI,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0,3.909090909090909,2.8181818181818183,4.090909090909091,3.3636363636363638,5.0,1.8181818181818181,4.454545454545454,5.0,4.454545454545454,3.1818181818181817,4.454545454545454,4.909090909090909,3.727272727272727,0.45454545454545453,3.159090909090909
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
PHI,1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
PHI,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0,4.545454545454546,3.3636363636363638,4.818181818181818,3.909090909090909,5.818181818181818,2.272727272727273,5.181818181818182,5.818181818181818,5.181818181818182,3.8181818181818183,5.181818181818182,5.7272727272727275,4.363636363636363,0.5454545454545454,3.659090909090909
PHI,1,0,0.5,1,1,1,0,1,1,1,1,0,0,0,1,1
PHI,0.5,0,0.5,0,1,1,0.5,1,0,1,0,0,1,1,1,0
PHI,0.5,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
PHI,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1
PHI,0.5,0.5,1,0.5,0,0,0,1,1,0,1,1,1,0,0,1
PHI,0,1,0.5,1,1,0,1,1,1,0,1,1,0,0.5,0,1
PHI,1,1,1,1,1,0.5,1,1,1,1,1,1,0,0,1,1
PHI,1,0,1,1,1,0,1,1,1,1,1,1,1,0.5,1,1
PHI,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
PHI,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0.0,5.181818181818182,3.8181818181818183,5.454545454545454,4.454545454545454,6.636363636363637,2.6363636363636362,5.909090909090909,6.636363636363637,5.909090909090909,4.363636363636363,5.909090909090909,6.545454545454546,5.0,0.6363636363636364,4.113636363636363
